ID Afiliado;Nombre Afiliado;Edad;Ingresos;Antigüedad como afiliado (años);NIT Empresa empleadora;Nombre Empresa empleadora;Categoría;Departamento;Ciudad;Dirección de residencia;Número de hijos;Con quien vive;Tipo de vivienda;Tipo de suelo;Estado civil;Género;Tiene Mascotas
AF-000251;Daniel Bustos Ruiz;34;$6.116.000;9;808989787-3;Demo Transporte Metropolitano Ltda.;B;Magdalena;Santa Marta;Diagonal 163 #64-66, Apto 1206, Barrio La Arboleda;Más de 4;Pareja;Arriendo;Urbano;Casado;Hombre;No
AF-000252;Ricardo Montoya Ramírez;49;$2.912.000;11;909128113-2;Demo Agroservicios Llanos SAS;A;Meta;Villavicencio;Avenida 14 #46-11, Barrio Nueva Colombia;1;Hijos;Familiar;Urbano;Separado;Hombre;Sí
AF-000253;Claudia Gabriela Rodríguez Salazar;39;$2.939.000;20;983800144-1;Demo Agroindustria del Valle SAS;A;Meta;Villavicencio;Avenida 87 #98-92, Apto 566, Barrio El Bosque;2;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000254;Tomás Molina Cifuentes;36;$2.152.000;6;819228621-5;Demo Seguridad y Control S.A.S.;A;Sucre;Sincelejo;Carrera 175 #88-5, Barrio Villa Nueva;2;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;No
AF-000255;Marcela Valentina Salazar Martínez;36;$2.313.000;1;907599250-6;Demo Servicios Horizonte S.A.S.;A;Antioquia;Medellín;Calle 101 #15-46, Barrio Las Palmas;2;Pareja;Arriendo;Urbano;Casado;Mujer;Sí
AF-000256;Karen Vélez Parra;52;$4.790.000;1;924415025-8;Demo Operaciones Mineras Demo Ltda.;B;Santander;Bucaramanga;Calle 68 #48-31, Barrio San Martín;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000257;Diana María Pineda Molina;33;$2.959.000;11;818143241-1;Demo Tecnología Prisma S.A.;A;Bolívar;Cartagena;Calle 168 #37-35, Barrio La Castellana;0;Padres;Arriendo;Urbano;Soltero;Mujer;No
AF-000258;Paola Viviana Molina López;47;$2.750.000;4;885059871-4;Demo Salud Integral Colombia SAS;A;Risaralda;Pereira;Calle 108 #20-36, Apto 1558, Barrio El Recreo;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000259;Sebastián González Muñoz;22;$2.665.000;4;865686587-3;Demo Agroindustria del Valle SAS;A;Bogotá D.C.;Bogotá D.C.;Calle 109 #68-24, Barrio La Floresta;0;Padres;Arriendo;Urbano;Soltero;Hombre;No
AF-000260;Paula Fernanda Romero Medina;27;$2.111.000;9;993674353-1;Demo Soluciones Documentales S.A.;A;Bogotá D.C.;Bogotá D.C.;Carrera 179 #18-68, Barrio Ciudad Jardín;0;Padres;Arriendo;Urbano;Soltero;Mujer;No
AF-000261;Sebastián Cárdenas Salazar;32;$5.165.000;0;980119639-4;Demo Farmacéutica Horizonte Ltda.;B;Casanare;Yopal;Avenida 2 #26-83, Apto 732, Barrio San Martín;2;"Pareja; Hijos";Propia;Urbano;Unión Libre;Hombre;No
AF-000262;Claudia Martínez Medina;64;$4.740.000;3;876385544-5;Demo Distribuciones Altamira Ltda.;B;Cundinamarca;Fusagasugá;Carrera 46 #112-10, Barrio Nueva Colombia;2;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;No
AF-000263;Martha Vargas López;25;$2.406.000;7;863350854-5;Demo Procesos Industriales Sigma SAS;A;Risaralda;Pereira;Transversal 156 #101-20, Barrio La Victoria;1;"Abuelos; Padres";Arriendo;Urbano;Soltero;Mujer;No
AF-000264;Adriana Molina Parra;33;$4.680.000;14;902005924-5;Demo Gestión Ambiental SAS;B;Bolívar;Cartagena;Avenida 109 #91-18, Apto 1090, Barrio Ciudad Jardín;1;"Pareja; Hijos";Familiar;Urbano;Unión Libre;Mujer;No
AF-000265;Mónica Cárdenas Restrepo;63;$6.033.000;1;976076773-2;Demo Operaciones del Caribe SAS;B;Atlántico;Barranquilla;Transversal 69 #26-8, Apto 493, Barrio San José;1;Hijos;Familiar;Urbano;Soltero;Mujer;No
AF-000266;Claudia Cabrera García;51;$2.092.000;3;876530833-0;Demo Agroservicios Llanos SAS;A;Putumayo;Mocoa;Calle 13 #20-4, Barrio San José;3;Hijos;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000267;Lorena Isabella Acosta Vargas;43;$1.934.000;20;965918220-6;Demo Textiles Cordillera Ltda.;A;Bogotá D.C.;Bogotá D.C.;Transversal 68 #10-24, Barrio La Floresta;2;"Padres; Hijos";Propia;Urbano;Casado;Mujer;Sí
AF-000268;Juan Ruiz Muñoz;54;$2.465.000;3;910242862-1;Demo Energía y Redes S.A.S.;A;Magdalena;Santa Marta;Carrera 145 #37-31, Barrio San José;3;"Pareja; Hijos";Familiar;Urbano;Unión Libre;Hombre;Sí
AF-000269;Elena Mendoza Ospina;60;$2.041.000;0;865588295-8;Demo Comercializadora Pacífico S.A.;A;Bogotá D.C.;Bogotá D.C.;Diagonal 35 #100-67, Barrio La Campiña;2;"Pareja; Hijos";Familiar;Urbano;Casado;Mujer;Sí
AF-000270;Carlos Cardona Suárez;47;$4.871.000;0;861183695-7;Demo Agroindustria del Valle SAS;B;Valle del Cauca;Cali;Carrera 171 #61-43, Barrio La Arboleda;1;Hijos;Propia;Urbano;Soltero;Hombre;Sí
AF-000271;Paola Romero Bustos;24;$6.624.000;6;955275268-1;Demo Transporte Metropolitano Ltda.;B;Cundinamarca;Soacha;Transversal 96 #54-85, Barrio Centro;3;Hijos;Propia;Urbano;Soltero;Mujer;Sí
AF-000272;Gloria Alejandra Rodríguez Rodríguez;40;$4.571.000;3;814185903-2;Demo Soluciones Verdes S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Transversal 69 #38-12, Apto 148, Barrio La Esperanza;1;"Pareja; Hijos";Familiar;Urbano;Casado;Mujer;Sí
AF-000273;Gabriela Daniela Vargas Mendoza;39;$2.367.000;15;806247297-5;Demo Infraestructura Nacional Ltda.;A;Caldas;La Dorada;Calle 47 #57-75, Barrio El Porvenir;1;"Padres; Hijos";Familiar;Urbano;Separado;Mujer;Sí
AF-000274;Andrés Salazar Pardo;44;$2.762.000;12;911881192-1;Demo Servicios del Occidente Ltda.;A;Antioquia;Rionegro;Avenida 166 #9-93, Apto 357, Barrio La Arboleda;3;"Pareja; Hijos";Familiar;Urbano;Unión Libre;Hombre;Sí
AF-000275;Ricardo Torres Rojas;39;$4.643.000;1;865686587-3;Demo Agroindustria del Valle SAS;B;Antioquia;Medellín;Avenida 105 #48-79, Barrio El Prado;1;"Padres; Hijos";Propia;Urbano;Separado;Hombre;No
AF-000276;Nicolás Jiménez Cortés;45;$3.178.000;1;907432753-1;Demo Alimentos del Centro Ltda.;A;Bolívar;Cartagena;Transversal 69 #100-14, Apto 1626, Barrio El Prado;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000277;Álvaro Miguel Rojas Torres;36;$2.014.000;0;965918220-6;Demo Textiles Cordillera Ltda.;A;Caquetá;Florencia;Carrera 25 #88-92, Barrio El Bosque;2;"Padres; Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000278;Jonathan Caicedo Salazar;35;$2.290.000;8;947019021-4;Demo Logística Andina SAS;A;Antioquia;Rionegro;Avenida 82 #77-7, Barrio El Bosque;1;"Padres; Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000279;Elena León Arias;54;$2.232.000;9;885059871-4;Demo Salud Integral Colombia SAS;A;Santander;Bucaramanga;Avenida 160 #64-66, Apto 390, Barrio El Bosque;2;Hijos;Familiar;Urbano;Soltero;Mujer;No
AF-000280;Mauricio Rojas González;19;$4.226.000;1;874270675-1;Demo Servicios Financieros Demo S.A.S.;B;Santander;Bucaramanga;Transversal 54 #79-4, Apto 937, Barrio Santa Ana;0;Padres;Arriendo;Urbano;Soltero;Hombre;Sí
AF-000281;Mateo Pineda Romero;53;$2.312.000;10;957579734-5;Demo Agroservicios Llanos SAS;A;Bogotá D.C.;Bogotá D.C.;Calle 137 #98-60, Apto 1001, Barrio Los Pinos;1;Hijos;Propia;Urbano;Viudo;Hombre;Sí
AF-000282;Marcela Sofía Medina Ramírez;60;$2.989.000;18;865588295-8;Demo Comercializadora Pacífico S.A.;A;Bogotá D.C.;Bogotá D.C.;Calle 86 #20-64, Apto 547, Barrio San Martín;3;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000283;Juan Héctor Muñoz Moreno;34;$5.589.000;7;912308943-2;Demo Gestión Humana Avanza S.A.;B;Bogotá D.C.;Bogotá D.C.;Diagonal 148 #77-95, Barrio La Castellana;3;"Padres; Pareja; Hijos";Propia;Urbano;Unión Libre;Hombre;No
AF-000284;Tomás Cortés Castaño;43;$9.948.000;9;862678898-4;Demo Servicios Empresariales Nexo S.A.;C;Santander;Barrancabermeja;Avenida 141 #6-97, Barrio Nueva Colombia;2;Hijos;Arriendo;Urbano;Soltero;Hombre;No
AF-000285;Paula Restrepo Quintero;36;$2.460.000;10;984983314-5;Demo Operaciones Urbanas SAS;A;Valle del Cauca;Cali;Avenida 12 #108-86, Barrio San Martín;1;Hijos;Arriendo;Urbano;Unión Libre;Mujer;No
AF-000286;Andrea Fernanda Mendoza Cabrera;51;$3.136.000;12;955275268-1;Demo Transporte Metropolitano Ltda.;A;Valle del Cauca;Cali;Diagonal 74 #53-83, Apto 1694, Barrio Los Pinos;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;No
AF-000287;Álvaro Acosta Suárez;29;$1.818.000;5;945716021-7;Demo Servicios del Occidente Ltda.;A;Boyacá;Duitama;Diagonal 78 #47-7, Apto 1687, Barrio La Floresta;1;"Padres; Hijos";Arriendo;Urbano;Separado;Hombre;Sí
AF-000288;Lorena Salazar Valencia;53;$2.197.000;3;830923505-1;Demo Manufacturas Capital Ltda.;A;Bogotá D.C.;Bogotá D.C.;Avenida 122 #72-35, Barrio La Esperanza;2;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000289;Isabella Ruiz Medina;39;$2.122.000;21;924149228-5;Demo Servicios Financieros Demo S.A.S.;A;Magdalena;Santa Marta;Calle 21 #58-18, Barrio Nueva Colombia;1;Pareja;Familiar;Urbano;Casado;Mujer;Sí
AF-000290;Héctor Luis Caicedo Salazar;27;$2.457.000;3;907599250-6;Demo Servicios Horizonte S.A.S.;A;Atlántico;Barranquilla;Avenida 138 #3-1, Barrio San Martín;2;Hijos;Familiar;Urbano;Soltero;Hombre;Sí
AF-000291;Fernanda Pineda Muñoz;34;$2.670.000;1;865175977-1;Demo Comercializadora Pacífico S.A.;A;Bogotá D.C.;Bogotá D.C.;Transversal 118 #64-8, Barrio Nueva Colombia;2;"Padres; Pareja; Hijos";Arriendo;Urbano;Soltero;Mujer;No
AF-000292;Wilson Moreno Hernández;43;$6.087.000;8;977165882-2;Demo Ingeniería Integral S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Calle 161 #62-98, Apto 1562, Barrio La Castellana;1;"Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;Sí
AF-000293;Tomás Sánchez Vargas;22;$4.295.000;4;821361154-2;Demo Operaciones del Caribe SAS;B;Antioquia;Medellín;Calle 129 #114-97, Barrio San Martín;0;Padres;Familiar;Urbano;Soltero;Hombre;No
AF-000294;David Sebastián Martínez Parra;47;$2.310.000;3;910242862-1;Demo Energía y Redes S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Avenida 157 #97-8, Barrio La Arboleda;2;Pareja;Familiar;Urbano;Casado;Hombre;No
AF-000295;Gabriela Valentina Caicedo Ramírez;40;$2.018.000;8;839065913-2;Demo Mantenimiento Estratégico S.A.;A;Cundinamarca;Zipaquirá;Transversal 110 #62-90, Barrio Los Alpes;2;"Padres; Hijos";Arriendo;Urbano;Soltero;Mujer;No
AF-000296;Johanna Natalia Mendoza Ruiz;46;$4.912.000;1;839063307-1;Demo Salud Integral Colombia SAS;B;Antioquia;Rionegro;Calle 142 #61-38, Barrio Ciudad Jardín;2;Hijos;Propia;Urbano;Soltero;Mujer;Sí
AF-000297;Wilson Mendoza Acosta;31;$2.634.000;6;814185903-2;Demo Soluciones Verdes S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Avenida 161 #44-57, Barrio La Esperanza;1;"Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;Sí
AF-000298;Laura Juliana Jiménez Medina;26;$5.290.000;5;924149228-5;Demo Servicios Financieros Demo S.A.S.;B;Antioquia;Medellín;Transversal 60 #100-92, Barrio Las Palmas;1;"Padres; Hijos";Arriendo;Urbano;Soltero;Mujer;Sí
AF-000299;Alejandra Laura García Restrepo;43;$2.258.000;6;955275268-1;Demo Transporte Metropolitano Ltda.;A;Bogotá D.C.;Bogotá D.C.;Carrera 100 #82-50, Apto 873, Barrio El Bosque;2;"Pareja; Hijos";Arriendo;Urbano;Soltero;Mujer;Sí
AF-000300;Martha Ortiz Acosta;52;$2.509.000;5;952582906-8;Demo Construcciones Nova SAS;A;Antioquia;Medellín;Carrera 169 #42-51, Barrio El Porvenir;3;"Pareja; Hijos";Familiar;Urbano;Casado;Mujer;Sí
AF-000301;Sebastián Castaño Medina;34;$1.874.000;2;940633103-7;Demo Servicios de Aseo Integral SAS;A;Bogotá D.C.;Bogotá D.C.;Carrera 43 #36-45, Barrio Las Palmas;1;Hijos;Arriendo;Urbano;Soltero;Hombre;No
AF-000302;Santiago Valencia Cabrera;40;$4.306.000;16;947019021-4;Demo Logística Andina SAS;B;Antioquia;Medellín;Calle 50 #84-75, Barrio El Recreo;2;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;Sí
AF-000303;Luis Miguel Rojas Quintero;49;$2.173.000;2;910092002-1;Demo Comercial del Norte S.A.S.;A;Atlántico;Barranquilla;Avenida 94 #6-44, Barrio El Recreo;0;Pareja;Arriendo;Urbano;Unión Libre;Hombre;No
AF-000304;Rosa Natalia Arias Castaño;28;$2.282.000;5;907432753-1;Demo Alimentos del Centro Ltda.;A;Nariño;Pasto;Avenida 170 #96-63, Apto 244, Barrio Los Pinos;2;Hijos;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000305;Diego Óscar Castaño Muñoz;53;$2.627.000;2;814185903-2;Demo Soluciones Verdes S.A.S.;A;Cauca;Popayán;Carrera 87 #10-87, Barrio La Victoria;2;"Padres; Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000306;David Salazar Cardona;35;$2.451.000;6;876530833-0;Demo Agroservicios Llanos SAS;A;Norte de Santander;Cúcuta;Calle 32 #100-8, Barrio Las Palmas;1;"Padres; Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;No
AF-000307;Marcela Bustos Ramírez;27;$2.925.000;8;924415025-8;Demo Operaciones Mineras Demo Ltda.;A;Guaviare;San José del Guaviare;Transversal 45 #51-6, Apto 1726, Barrio Ciudad Jardín;1;"Padres; Pareja; Hijos";Arriendo;Urbano;Unión Libre;Mujer;No
AF-000308;Juan Mauricio Cifuentes Gómez;30;$2.627.000;3;876089951-0;Demo Educación Futuro S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Avenida 15 #11-74, Barrio Villa Nueva;3;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000309;Alejandro Salazar González;40;$5.029.000;2;900018166-8;Demo Procesos Industriales Sigma SAS;B;Atlántico;Soledad;Carrera 163 #4-18, Apto 229, Barrio Villa Nueva;1;"Padres; Pareja; Hijos";Familiar;Urbano;Unión Libre;Hombre;Sí
AF-000310;Nicolás Castro Cárdenas;49;$2.334.000;0;818143241-1;Demo Tecnología Prisma S.A.;A;Bogotá D.C.;Bogotá D.C.;Carrera 177 #4-23, Apto 1707, Barrio Nueva Colombia;0;Pareja;Propia;Urbano;Casado;Hombre;Sí
AF-000311;Héctor Suárez García;56;$1.912.000;12;945315636-5;Demo Seguridad y Control S.A.S.;A;Meta;Villavicencio;Diagonal 106 #41-44, Barrio La Victoria;2;Hijos;Familiar;Urbano;Soltero;Hombre;No
AF-000312;Santiago Moreno Castro;42;$2.844.000;15;830890226-6;Demo Industrias del Sur S.A.;A;Caldas;Manizales;Calle 157 #107-21, Barrio La Floresta;2;Hijos;Propia;Urbano;Viudo;Hombre;Sí
AF-000313;Mauricio Montoya Vargas;24;$5.185.000;2;947019021-4;Demo Logística Andina SAS;B;Bolívar;Cartagena;Transversal 8 #16-49, Apto 1586, Barrio Nueva Colombia;2;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;No
AF-000314;Iván Arias Díaz;35;$3.970.000;1;911881192-1;Demo Servicios del Occidente Ltda.;B;Bogotá D.C.;Bogotá D.C.;Calle 46 #81-19, Barrio El Bosque;3;Hijos;Propia;Urbano;Soltero;Hombre;Sí
AF-000315;Isabella Mendoza Cortés;22;$1.953.000;4;818143241-1;Demo Tecnología Prisma S.A.;A;Cundinamarca;Soacha;Calle 81 #15-79, Apto 1118, Barrio Santa Ana;0;Padres;Familiar;Urbano;Soltero;Mujer;Sí
AF-000316;Camila Gloria Quintero Herrera;34;$2.507.000;7;910092002-1;Demo Comercial del Norte S.A.S.;A;Valle del Cauca;Cali;Avenida 90 #51-3, Barrio Santa Ana;2;Pareja;Arriendo;Urbano;Casado;Mujer;No
AF-000317;Ricardo Javier Jiménez Ospina;61;$5.643.000;34;899808500-2;Demo Consultoría Ápice S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Transversal 20 #113-98, Barrio La Arboleda;0;Pareja;Familiar;Urbano;Soltero;Hombre;Sí
AF-000318;Brayan Medina Suárez;33;$6.100.000;7;907599250-6;Demo Servicios Horizonte S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Avenida 61 #102-98, Barrio Los Pinos;0;Pareja;Arriendo;Urbano;Unión Libre;Hombre;No
AF-000319;Noa Rojas Castaño;49;$5.627.000;0;883286045-2;Demo Comercial del Norte S.A.S.;B;Valle del Cauca;Palmira;Diagonal 153 #6-33, Barrio Centro;2;"Pareja; Hijos";Propia;Urbano;Casado;No especifica;No
AF-000320;Mónica Medina Pardo;53;$2.140.000;0;947019021-4;Demo Logística Andina SAS;A;Cundinamarca;Zipaquirá;Transversal 113 #3-68, Apto 697, Barrio Nueva Colombia;2;Hijos;Familiar;Urbano;Casado;Mujer;Sí
AF-000321;Rafael Bustos Ruiz;32;$2.789.000;14;965918220-6;Demo Textiles Cordillera Ltda.;A;Caldas;Manizales;Diagonal 88 #105-36, Barrio Centro;2;Hijos;Familiar;Urbano;Soltero;Hombre;Sí
AF-000322;Mateo Torres González;42;$3.294.000;0;821361154-2;Demo Operaciones del Caribe SAS;A;Guaviare;San José del Guaviare;Transversal 177 #11-61, Apto 1581, Barrio San Martín;0;Pareja;Familiar;Urbano;Casado;Hombre;Sí
AF-000323;Viviana Montoya Pérez;29;$2.940.000;1;892846205-0;Demo Operaciones Mineras Demo Ltda.;A;Magdalena;Santa Marta;Diagonal 144 #16-81, Apto 1574, Barrio La Esperanza;0;"Padres; Pareja";Arriendo;Urbano;Separado;Mujer;No
AF-000324;Alejandro Juan Sánchez Molina;28;$2.102.000;10;965918220-6;Demo Textiles Cordillera Ltda.;A;Antioquia;Medellín;Vereda Los Alpes, Finca Villa Luz, km 8;0;Padres;Propia;Rural;Soltero;Hombre;No
AF-000325;Catalina Pardo Quintero;32;$2.515.000;3;895561561-4;Demo Soluciones Documentales S.A.;A;Bogotá D.C.;Bogotá D.C.;Transversal 37 #71-96, Apto 1335, Barrio Santa Ana;0;Pareja;Propia;Urbano;Casado;Mujer;Sí
AF-000326;Martha Montoya Valencia;47;$8.382.000;6;910242862-1;Demo Energía y Redes S.A.S.;C;Córdoba;Montería;Calle 55 #87-30, Barrio El Porvenir;0;Abuelos;Propia;Urbano;Soltero;Mujer;Sí
AF-000327;Gloria Moreno Hernández;28;$5.273.000;6;814185903-2;Demo Soluciones Verdes S.A.S.;B;Cundinamarca;Fusagasugá;Calle 117 #105-18, Barrio San Martín;2;"Abuelos; Padres; Hijos";Arriendo;Urbano;Soltero;Mujer;Sí
AF-000328;Ricardo Felipe Valencia Arias;22;$6.045.000;1;821361154-2;Demo Operaciones del Caribe SAS;B;Santander;Bucaramanga;Transversal 29 #80-90, Apto 749, Barrio Villa Nueva;0;Padres;Propia;Urbano;Soltero;Hombre;No
AF-000329;Johanna Angélica Montoya Restrepo;35;$2.243.000;17;900018166-8;Demo Procesos Industriales Sigma SAS;A;Meta;Acacías;Diagonal 55 #88-17, Barrio Los Alpes;0;"Abuelos; Pareja";Familiar;Urbano;Soltero;Mujer;Sí
AF-000330;Mauricio León Mendoza;38;$2.802.000;8;947019021-4;Demo Logística Andina SAS;A;Amazonas;Leticia;Carrera 38 #31-80, Apto 1028, Barrio La Esperanza;1;"Pareja; Hijos";Propia;Urbano;Unión Libre;Hombre;Sí
AF-000331;Germán Moreno Moreno;34;$2.124.000;1;940633103-7;Demo Servicios de Aseo Integral SAS;A;Bogotá D.C.;Bogotá D.C.;Carrera 124 #73-3, Barrio El Porvenir;2;"Pareja; Hijos";Propia;Urbano;Unión Libre;Hombre;Sí
AF-000332;Camila Karen Gómez Díaz;34;$2.119.000;6;853039437-9;Demo Comercial del Norte S.A.S.;A;Cauca;Popayán;Calle 56 #76-82, Apto 1612, Barrio Los Pinos;1;"Padres; Hijos";Propia;Urbano;Soltero;Mujer;No
AF-000333;Juan Esteban López Arias;35;$4.462.000;2;907599250-6;Demo Servicios Horizonte S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Transversal 59 #43-6, Barrio La Arboleda;2;Hijos;Familiar;Urbano;Viudo;Hombre;No
AF-000334;Sandra Suárez Navarro;40;$2.032.000;2;947019021-4;Demo Logística Andina SAS;A;Norte de Santander;Cúcuta;Calle 180 #69-3, Barrio La Esperanza;3;Hijos;Propia;Urbano;Soltero;Mujer;Sí
AF-000335;Luisa María Cardona León;55;$3.513.000;14;814185903-2;Demo Soluciones Verdes S.A.S.;B;Antioquia;Medellín;Carrera 101 #50-60, Barrio Centro;3;Hijos;Propia;Urbano;Soltero;Mujer;Sí
AF-000336;Sebastián Vargas Acosta;29;$2.458.000;5;830923505-1;Demo Manufacturas Capital Ltda.;A;Cesar;Valledupar;Avenida 158 #109-19, Apto 1159, Barrio La Floresta;0;"Padres; Pareja";Arriendo;Urbano;Casado;Hombre;Sí
AF-000337;Kevin Cifuentes Valencia;36;$2.058.000;7;910242862-1;Demo Energía y Redes S.A.S.;A;Cundinamarca;Soacha;Avenida 30 #96-60, Barrio La Esperanza;0;Padres;Familiar;Urbano;Soltero;Hombre;Sí
AF-000338;Cristian Héctor Vargas Cardona;45;$2.483.000;7;830923505-1;Demo Manufacturas Capital Ltda.;A;Tolima;Ibagué;Carrera 105 #71-84, Barrio Nueva Colombia;2;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;Sí
AF-000339;Carlos Torres Valencia;25;$2.146.000;5;976076773-2;Demo Operaciones del Caribe SAS;A;Bogotá D.C.;Bogotá D.C.;Avenida 156 #67-56, Barrio La Floresta;1;"Padres; Pareja";Arriendo;Urbano;Unión Libre;Hombre;No
AF-000340;Gabriela María Hernández Díaz;34;$4.721.000;8;952582906-8;Demo Construcciones Nova SAS;B;Atlántico;Barranquilla;Transversal 122 #77-45, Barrio San José;1;"Abuelos; Pareja; Hijos";Familiar;Urbano;Casado;Mujer;No
AF-000341;Martha Mendoza Caicedo;48;$2.861.000;2;947019021-4;Demo Logística Andina SAS;A;Antioquia;Medellín;Transversal 154 #103-93, Apto 1112, Barrio La Castellana;1;"Pareja; Hijos";Propia;Urbano;Unión Libre;Mujer;No
AF-000342;Cristian Cortés Torres;26;$4.595.000;4;969371131-3;Demo Comercio Digital Uno S.A.;B;Quindío;Armenia;Transversal 64 #46-51, Apto 1121, Barrio La Arboleda;0;Padres;Familiar;Urbano;Separado;Hombre;No
AF-000343;Camila González Bermúdez;47;$3.416.000;6;912308943-2;Demo Gestión Humana Avanza S.A.;A;Cundinamarca;Fusagasugá;Diagonal 43 #93-68, Barrio Nueva Colombia;0;Pareja;Propia;Urbano;Casado;Mujer;Sí
AF-000344;Camila Marcela Bermúdez Quintero;28;$4.873.000;5;890849770-7;Demo Tecnología Prisma S.A.;B;Valle del Cauca;Buenaventura;Vereda San Miguel, Finca El Refugio, km 18;0;Padres;Propia;Rural;Soltero;Mujer;Sí
AF-000345;Claudia Arias Díaz;39;$5.914.000;11;814185903-2;Demo Soluciones Verdes S.A.S.;B;Antioquia;Bello;Diagonal 23 #103-76, Apto 555, Barrio La Floresta;0;Padres;Arriendo;Urbano;Separado;Mujer;Sí
AF-000346;Adriana Sánchez Medina;33;$2.773.000;10;822917527-8;Demo Operaciones Urbanas SAS;A;Cundinamarca;Chía;Diagonal 68 #55-72, Barrio Santa Ana;1;"Pareja; Hijos";Arriendo;Urbano;Separado;Mujer;Sí
AF-000347;Diego Álvaro Suárez González;36;$10.060.000;1;874329077-1;Demo Distribuciones Altamira Ltda.;C;Bogotá D.C.;Bogotá D.C.;Diagonal 152 #13-55, Barrio Santa Ana;3;"Pareja; Hijos";Arriendo;Urbano;Soltero;Hombre;No
AF-000348;Jhon Luis Cortés Vargas;39;$4.958.000;12;935945847-9;Demo Turismo y Experiencias S.A.;B;Sucre;Sincelejo;Diagonal 34 #32-19, Apto 1724, Barrio La Castellana;2;"Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;Sí
AF-000349;Manuela Cifuentes Jiménez;27;$5.638.000;7;910242862-1;Demo Energía y Redes S.A.S.;B;Quindío;Armenia;Diagonal 159 #57-15, Barrio El Porvenir;0;Pareja;Familiar;Urbano;Soltero;Mujer;No
AF-000350;Laura Sánchez Mendoza;40;$9.031.000;2;814185903-2;Demo Soluciones Verdes S.A.S.;C;Bogotá D.C.;Bogotá D.C.;Avenida 62 #97-76, Barrio La Victoria;2;"Pareja; Hijos";Familiar;Urbano;Unión Libre;Mujer;No
AF-000351;Daniela Restrepo Salazar;25;$2.170.000;7;987942517-9;Demo Servicios Empresariales Nexo S.A.;A;Bogotá D.C.;Bogotá D.C.;Carrera 111 #47-93, Barrio Los Alpes;0;"Padres; Pareja";Arriendo;Urbano;Casado;Mujer;No
AF-000352;Julián Jiménez Rojas;41;$5.337.000;1;900018166-8;Demo Procesos Industriales Sigma SAS;B;Santander;Barrancabermeja;Diagonal 105 #76-25, Barrio Santa Ana;1;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;Sí
AF-000353;Sara Valentina González García;33;$2.218.000;5;908878877-4;Demo Servicios de Aseo Integral SAS;A;Atlántico;Barranquilla;Diagonal 12 #14-16, Barrio La Esperanza;0;"Abuelos; Padres";Arriendo;Urbano;Soltero;Mujer;No
AF-000354;Johanna Fernanda Ruiz Vargas;26;$2.487.000;3;969371131-3;Demo Comercio Digital Uno S.A.;A;Risaralda;Pereira;Carrera 178 #88-25, Barrio Las Palmas;2;Hijos;Familiar;Urbano;Soltero;Mujer;No
AF-000355;Santiago Sánchez Castro;33;$10.019.000;8;876089951-0;Demo Educación Futuro S.A.S.;C;Antioquia;Bello;Calle 46 #12-23, Apto 1653, Barrio San José;0;Pareja;Propia;Urbano;Casado;Hombre;Sí
AF-000356;Óscar Carlos López Rodríguez;27;$4.396.000;5;827732900-5;Demo Redes y Conectividad S.A.;B;Atlántico;Soledad;Calle 92 #34-6, Barrio San José;1;Hijos;Familiar;Urbano;Soltero;Hombre;Sí
AF-000357;Mateo León Ortiz;20;$1.824.000;1;982310027-1;Demo Redes y Conectividad S.A.;A;Cundinamarca;Zipaquirá;Diagonal 104 #69-19, Apto 266, Barrio San José;0;Pareja;Arriendo;Urbano;Casado;Hombre;Sí
